"","service","num_of_ships","cartel_member_dummy"
"964","Westwind Shpp",1,0
"965","William",7,0
"966","Wisco",4,0
"967","Yangming",18,0
"968","Ybarra",2,0
"969","YGLL",3,0
"970","Zefal",12,0
"971","Zim",14,0
"972","Zim Cont Srv",12,0
"973","Zim Eilat East Africa",1,0
"974","Zim SAS",4,0
"975","Zimcorn(cellular)",1,0
"976","ZNSL",3,0
"977",NA,962,0
